lat,long,vx,vy
38.7380892,-9.13853912,-3.63491225,-0.291774595
38.7380892,-9.13854133,-3.78965423,0.0862873219
38.738089,-9.13854331,-3.63903805,0.0540815388
38.7380889,-9.13854544,-3.67823808,-0.038103373
38.7380855,-9.13854775,-3.6869511,-0.372288017
38.7380855,-9.13854984,-3.65721716,-0.0680403799
38.7380857,-9.13855188,-3.78659932,0.385589664
38.7380797,-9.13855435,-3.78423418,-0.0470555258
38.7380801,-9.13855644,-3.65768347,0.368787381
38.7380879,-9.13855804,-3.4506862,-0.711325558
38.7380892,-9.13856058,-3.82571147,0.509789354
38.7380887,-9.1385627,-3.73001526,-0.64553865
38.738082,-9.13856525,-3.795322,1.47006436
38.7380816,-9.13856729,-3.62858973,-0.39765708
38.7380835,-9.13856993,-4.03133041,0.550946687
38.7380842,-9.13857218,-3.86239529,0.46042162
38.7380838,-9.13857427,-3.6324296,-1.16386853
38.738088,-9.13858153,-3.70901301,-0.43210385
38.7380875,-9.13858357,-3.60974776,-0.536707701
38.7380878,-9.13858593,-4.01964107,0.130911375
38.7380924,-9.13858889,-3.86970615,-0.0116573041
38.7380929,-9.13859099,-3.80357196,0.641935528
38.7380928,-9.13859331,-3.87348215,-0.0702198375
38.7380928,-9.13859536,-3.90300398,1.41455054
38.7380805,-9.138595,-3.77938156,0.42160699
38.73808,-9.13859763,-4.08208752,0.986099519
38.7380799,-9.13859981,-3.95996432,0.396287121
38.7380802,-9.13860198,-3.72721923,-0.00112966892
38.7380916,-9.13860559,-3.70456192,-0.409819398
38.7380919,-9.13860766,-3.68476765,0.103909148
38.7380889,-9.1386102,-3.97948438,-0.202850211
38.7380898,-9.13861242,-3.83160372,1.10370236
38.7380867,-9.13861284,-3.81853593,0.386835266
38.7380862,-9.13861511,-4.07378142,-0.295191741
38.7380857,-9.13861729,-3.74853609,-0.188663231
38.738086,-9.13861953,-3.84307491,0.621179427
38.7380918,-9.13862282,-3.77502915,0.355452463
38.7380875,-9.13862517,-3.78342215,0.0665289386
38.738088,-9.13862749,-3.91886999,1.09247036
38.7380882,-9.13862971,-3.9965121,0.643563629
38.7380951,-9.13863292,-3.92413374,0.696752534
38.7380942,-9.13863519,-3.79004979,-0.288863658
38.7380945,-9.13863722,-3.67905398,0.0324281681
38.7380942,-9.13863944,-3.87174438,-0.206598756
